filename,RMSE mf,RMSE nisf,RMSE sf,RMSE sfTP,T,WRMSE mf,WRMSE nisf,WRMSE sf,WRMSE sfTP,fieldNum,velVariance
MSE_0.2_fieldMeas_0_T0_0.1.txt,34.862592666950796,34.85847151444286,34.85827613206117,34.8582868095641,0,6.20125418,2.84506626e-05,6.35574231,6.33990297,0,0.1
MSE_0.2_fieldMeas_0_T0_0.2.txt,7.690218485958445,7.734842417961393,7.675189723172382,7.669451134214549,0,0.00047425,1.33943346,0.13756841,0.11816551,0,0.2
MSE_0.2_fieldMeas_0_T0_0.txt,5.248310997830455,5.247403702851988,5.247514252892991,5.243211870740189,0,0.03080964,1.10521128e-08,0.07326736,0.07317822,0,0.0
MSE_0.2_fieldMeas_0_T1_0.1.txt,8.66989624244838,8.63040398436604,8.630684015541608,8.659058987280373,1,0.10916187,5.13798326e-10,0.434683,0.45929211,0,0.1
MSE_0.2_fieldMeas_0_T1_0.2.txt,7.14834728426886,7.139243222484696,7.159504560577208,7.041673055046857,1,-0.00016741,2.49369201e-12,0.11113506,0.13170227,0,0.2
MSE_0.2_fieldMeas_0_T1_0.txt,23.531111818968206,23.53053986524565,23.530826380338134,23.553782415353776,1,0.33023381,1.31493545e-07,2.78345833,2.78756517,0,0.0
MSE_0.2_fieldMeas_0_T2_0.1.txt,7.3185534468480915,7.111916273646375,7.126727866028086,7.046518739462946,2,0.01786366,2.73393376e-05,0.18011368,0.18674518,0,0.1
MSE_0.2_fieldMeas_0_T2_0.2.txt,7.627762515134383,7.734842417961393,7.63038511087492,7.64008327114878,2,0.02218752,0.13070692,0.1856173,0.19130929,0,0.2
MSE_0.2_fieldMeas_0_T2_0.txt,23.190846851450786,23.250069154943468,23.190270988789123,23.19096999296735,2,2.46147931,0.00031484,2.98584943,2.98837702,0,0.0
MSE_0.2_fieldMeas_0_T3_0.1.txt,6.7896124338057415,6.825858382692491,6.888029433075608,6.585464547714642,3,0.00338931,3.71697808e-11,0.0780551,0.08463292,0,0.1
MSE_0.2_fieldMeas_0_T3_0.2.txt,6.9785634896574695,7.022477111652471,7.022478950740554,6.956386401714615,3,0.00108764,4.45731271e-11,0.07176091,0.08548469,0,0.2
MSE_0.2_fieldMeas_0_T3_0.txt,7.6818109904965155,7.6587318948663405,7.6817057132697775,7.683257999894984,3,0.03986396,0.00012091,0.1448399,0.14924182,0,0.0
