t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,4.886079609543888536e-01,6.532500370519955801e-01,3.665651459081707420e-01,8.846585558299787877e+00,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,6.401282987341715414e-01,5.334182853324187512e-01,7.710808256549613882e-01,8.921675328380976211e+00,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,7.194160439724218703e-01,3.905965189674357463e-01,1.111418544830401034e+00,9.053645641743219841e+00,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,5.448737151916708266e-01,3.716388446375576415e-01,1.515766175022166262e+00,9.527481979937212131e+00,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,4.289698076723010844e-01,2.320463992927912500e-01,1.860949641632807072e+00,9.273968876627307623e+00,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,4.211408005930608045e-01,4.264133999490615778e-02,2.257905497035916476e+00,9.648106464837839624e+00,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,5.416637594333982841e-01,1.363496766262351778e-01,2.649184343538966591e+00,9.824664640218969680e+00,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,8.076488864611777174e-01,1.452083358929506796e-01,2.994638261587317718e+00,1.076676376312401473e+01,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,6.889602608963881769e-01,3.550125238258978744e-01,3.391671266878220070e+00,1.127517496107026496e+01,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,6.223001144113537997e-01,3.367267187603059653e-01,3.764648568968776310e+00,1.176946774525516481e+01,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,3.608108755273429225e-01,5.380763103003874948e-01,4.136567576018793879e+00,1.180446626493183260e+01,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,1.743290504689974374e-01,3.849516667375889045e-01,4.488172921154584216e+00,1.183140763373877391e+01,2.000000000000000000e+00
