t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,4.705102498947811851e-01,6.162978898332374111e-01,3.726406420455365964e-01,9.820823395615885687e+00,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,6.318590725409469755e-01,3.303496996999899515e-01,7.509915813233434267e-01,1.054982913400568378e+01,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,6.468561337019267388e-01,4.615081690630053191e-02,1.094565871134488999e+00,1.080735288333410793e+01,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,4.594518022815797242e-01,5.260836196302677292e-01,1.519904349401318466e+00,1.084311189115882890e+01,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,2.892843595241811339e-01,3.671962179008332328e-01,1.905751421279081814e+00,1.087761374066886866e+01,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,7.272438571635009286e-01,7.191018232267924748e-02,2.281693146337978817e+00,1.062930238523715865e+01,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,7.847978122783370036e-01,2.538024693565837930e-01,2.686203963913722514e+00,1.109942859307587071e+01,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,1.143469087059886036e+00,2.636832474884222011e-01,2.998490861606791569e+00,1.225020327691184008e+01,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,1.197385911998623431e+00,6.096282557586266693e-01,3.372701093452104004e+00,1.193002535469499570e+01,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,1.164549063760979886e+00,4.685666708727574958e-01,3.754093494430407407e+00,1.185698270549895561e+01,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,1.083762642552761779e+00,6.984878598916886006e-01,4.121238395839577962e+00,1.115670838311983104e+01,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,1.151918349613377135e+00,5.524025034792693356e-01,4.493523081913505024e+00,1.099566438819064729e+01,2.000000000000000000e+00
6.540000000000055991e+01,1.953785666272187527e-01,2.683381173086750726e-01,4.856759813938900550e+00,1.069490798882031246e+00,4.477406384148863161e-01,4.889425082008684420e+00,1.129603336379563849e+01,2.000000000000000000e+00
7.050000000000027001e+01,2.215798309451796344e-01,1.991926239332147686e-01,5.249170419409317390e+00,8.976675830387874644e-01,3.749904704792190735e-01,5.247620073085451864e+00,1.124676218324493959e+01,2.000000000000000000e+00
7.559999999999998010e+01,2.685416096699244637e-01,1.421247424058045272e-01,5.683256823302491156e+00,1.034829656309344648e+00,4.235427352823044611e-01,5.676873435480562335e+00,1.155940904086695653e+01,2.000000000000000000e+00
8.069999999999969020e+01,8.546401477516349932e-01,1.188046443221998788e-01,6.020868544869273364e+00,1.588118418391231801e+00,3.145687772112680802e-01,6.037826794863491386e+00,1.298159361522315081e+01,3.000000000000000000e+00
8.579999999999940030e+01,8.500987316611057221e-01,-2.771912366806510500e-02,6.362040961185237542e+00,1.713840693454604436e+00,3.569656391301992970e-01,6.374354252143569433e+00,1.307670161685070376e+01,3.000000000000000000e+00
9.089999999999911040e+01,7.488569993716152062e-01,2.258394169130242268e-01,6.766094859879547840e+00,1.377339644328473112e+00,6.199539870361512328e-01,6.767981236828219949e+00,1.315489282665990700e+01,3.000000000000000000e+00
9.599999999999882050e+01,8.699768963706808744e-01,6.559947711364029210e-01,7.164633382763919478e+00,1.550183935200087237e+00,9.284151920837770966e-01,7.149659213424814475e+00,1.363053785691700526e+01,3.000000000000000000e+00
1.010999999999985306e+02,1.078921906755032190e+00,1.003880666889820805e+00,7.626696651652111747e+00,1.719980072347464750e+00,9.902777071306430035e-01,7.626666449761527744e+00,1.415334560354606630e+01,3.000000000000000000e+00
1.061999999999982407e+02,1.027755549342600050e+00,1.135364828688695482e+00,7.944849000183364929e+00,1.554560457355211645e+00,1.443884353537631560e+00,7.933874751123354052e+00,1.409769343246337669e+01,3.000000000000000000e+00
1.112999999999979508e+02,1.084848914177170665e+00,1.145313144815408801e+00,8.330831723705463432e+00,1.617357924575694383e+00,1.502858276142731597e+00,8.335733347085874101e+00,1.427943685331223733e+01,3.000000000000000000e+00
1.163999999999976609e+02,1.013318236663254934e+00,1.027328023844871208e+00,8.737617708026002461e+00,1.668159378546279825e+00,1.304033814525030976e+00,8.749082798780708714e+00,1.382201759581290545e+01,3.000000000000000000e+00
1.214999999999973710e+02,9.206487064508037665e-01,9.525069414314943916e-01,9.095185817940247830e+00,1.433263563711557831e+00,1.385564812942499113e+00,9.086248764492740548e+00,1.356263914020664174e+01,3.000000000000000000e+00
1.265999999999970811e+02,9.550292293976705427e-01,9.362919512264734623e-01,9.501020549506838719e+00,1.401006020207712366e+00,1.215929742028619254e+00,9.488651485873132785e+00,1.386156489200880593e+01,3.000000000000000000e+00
1.316999999999968054e+02,1.090270987347568665e+00,9.747343545831441691e-01,9.691366702324572202e+00,1.323369960880223850e+00,1.251956890521789267e+00,9.710998554740227107e+00,1.401584167522108437e+01,3.000000000000000000e+00
1.367999999999965155e+02,1.374866907288473827e+00,1.256653054226210875e+00,9.314416728816564017e+00,1.668163923276892779e+00,1.497115607905904255e+00,9.303298314702280081e+00,1.479898943715175896e+01,3.000000000000000000e+00
1.418999999999962256e+02,1.579586355983330970e+00,1.428900358765176959e+00,8.956632543298983506e+00,1.735817926100829522e+00,1.675058793664290002e+00,8.928458375727434060e+00,1.573354601463880797e+01,3.000000000000000000e+00
1.469999999999959357e+02,1.766204730496131914e+00,1.744275760612951087e+00,8.542240265627693674e+00,1.861471272997137438e+00,2.065202706382306630e+00,8.552574842154303525e+00,1.619918382102758159e+01,3.000000000000000000e+00
1.520999999999956458e+02,1.990638405466626182e+00,2.475311156702561632e+00,8.221430644247776698e+00,2.026596606314554627e+00,2.678259009637903976e+00,8.230988264947260546e+00,1.690641503466890683e+01,3.000000000000000000e+00
1.571999999999953559e+02,1.888283729640946040e+00,2.980283330820345356e+00,7.794863775853774435e+00,1.695328070331477477e+00,3.320854586888535742e+00,7.798889406556480886e+00,1.667456578218416396e+01,3.000000000000000000e+00
1.622999999999950660e+02,2.066957319518821112e+00,3.052449639880431942e+00,7.427679195323117156e+00,1.719460349960935108e+00,3.283710275166500381e+00,7.429087256853462051e+00,1.767015003109319338e+01,3.000000000000000000e+00
1.673999999999947761e+02,2.240815926551118498e+00,3.314121022098171832e+00,6.991083234346472608e+00,2.072891724853093365e+00,3.641439890623608289e+00,7.020968395401697926e+00,1.766912275170179569e+01,3.000000000000000000e+00
1.724999999999944862e+02,2.155274542015721551e+00,3.726788274398396883e+00,6.627727825276065410e+00,1.745271401564536751e+00,3.968156689378665281e+00,6.648644190796571429e+00,1.752854183549261080e+01,3.000000000000000000e+00
1.775999999999941963e+02,2.623171234825977027e+00,3.971517720296005027e+00,6.259448909136829720e+00,2.289231340449722651e+00,4.310788742983848287e+00,6.258410962112684217e+00,1.915284768046027963e+01,3.000000000000000000e+00
1.826999999999939064e+02,2.916013627075914716e+00,4.090097705958601004e+00,5.833807512500912118e+00,2.548417242855765874e+00,4.309291743696931576e+00,5.841038784822836227e+00,2.026523181380860805e+01,3.000000000000000000e+00
1.877999999999936165e+02,3.257222219221880710e+00,4.422818954250089973e+00,5.460892988537858983e+00,2.768123977776089095e+00,4.674030776096035567e+00,5.449496314013253517e+00,2.120775209104294134e+01,3.000000000000000000e+00
1.928999999999933266e+02,3.245305557112859507e+00,4.796749080316746294e+00,5.102573146100886525e+00,2.936396401868360595e+00,4.964289548927055762e+00,5.113317573427045737e+00,2.101517423324489187e+01,3.000000000000000000e+00
1.979999999999930367e+02,3.526397968842919894e+00,5.113936733968882820e+00,4.721303017644483901e+00,3.063155205751681986e+00,5.223620531173371440e+00,4.704859314336009568e+00,2.203185547985859571e+01,3.000000000000000000e+00
2.030999999999927468e+02,3.703207356338090950e+00,5.217441327988121991e+00,4.307990760660522334e+00,3.226301847883533469e+00,5.367252249340998205e+00,4.308497764606075364e+00,2.248230855754293955e+01,3.000000000000000000e+00
2.081999999999924569e+02,3.989928663817282395e+00,5.435559790519985057e+00,3.942885475033354847e+00,3.340155353509904668e+00,5.535829302989446532e+00,3.933597443878517730e+00,2.328804807456269188e+01,3.000000000000000000e+00
2.132999999999921670e+02,4.179502975527515929e+00,6.046415892229051181e+00,3.538850580864252748e+00,3.447075047184382512e+00,6.355794346369637360e+00,3.525598754953723102e+00,2.375328759763974773e+01,3.000000000000000000e+00
2.183999999999918771e+02,4.084058943308717993e+00,6.012379268694711065e+00,3.201070328448094582e+00,3.295030028103941522e+00,6.434058690711940365e+00,3.202805422147926517e+00,2.323868619339062391e+01,3.000000000000000000e+00
