t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,5.118090168221554048e-01,6.645561463277938063e-01,3.766239808022582847e-01,4.284103428421273563e+00,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,6.634045452482347782e-01,5.447288582755227537e-01,7.782419175177995863e-01,5.010426030068282799e+00,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,7.426923397633866664e-01,4.019070948358464124e-01,1.121760998733589032e+00,5.337275793988784933e+00,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,5.681500110191791686e-01,3.829494205081377389e-01,1.520236315768373814e+00,5.181756870441650342e+00,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,4.522461034998409568e-01,2.433569751633733180e-01,1.874324162336956645e+00,4.759468693201895917e+00,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,4.444170964206008989e-01,5.395191586548816337e-02,2.274413698835550335e+00,4.424942506077678139e+00,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,5.649400552609386006e-01,1.476602524968171903e-01,2.653853661108791950e+00,4.952090204058104739e+00,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,8.309251822887180339e-01,1.565189117635327198e-01,2.995445835015676295e+00,5.168230952070911322e+00,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,7.122365567239284934e-01,3.663230996964799147e-01,3.404042758133176250e+00,4.843653955531648236e+00,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,6.455764102388941161e-01,3.480372946308880056e-01,3.759000201325902957e+00,4.295501799733915327e+00,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,3.840871713548832389e-01,5.493868861709695350e-01,4.146127205291212370e+00,3.330571694228869006e+00,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,1.976053462965378094e-01,3.962622426081710003e-01,4.494845636653314713e+00,2.947126996455940340e+00,2.000000000000000000e+00
6.540000000000055991e+01,1.953785666272187527e-01,2.683381173086750726e-01,4.856759813938900550e+00,2.540081759997138144e-01,2.274496523795662140e-01,4.875793882749769992e+00,2.597255703094725199e+00,2.000000000000000000e+00
7.050000000000027001e+01,2.215798309451796344e-01,1.991926239332147686e-01,5.249170419409317390e+00,2.341147943264343667e-01,1.806847839343901918e-01,5.245768701227471631e+00,2.090947298800670318e+00,2.000000000000000000e+00
7.559999999999998010e+01,2.685416096699244637e-01,1.421247424058045272e-01,5.683256823302491156e+00,3.165095430011852229e-01,9.286766218906877812e-02,5.665046261899928659e+00,1.924032395141755947e+00,2.000000000000000000e+00
8.069999999999969020e+01,8.546401477516349932e-01,1.188046443221998788e-01,6.020868544869273364e+00,8.872290721375426514e-01,6.681853000318506430e-02,6.023882768528335596e+00,2.745814783284942884e+00,3.000000000000000000e+00
8.579999999999940030e+01,8.500987316611057221e-01,-2.771912366806510500e-02,6.362040961185237542e+00,8.899925068055054567e-01,-4.643168592189669125e-02,6.368685929645468313e+00,2.019086968864920451e+00,3.000000000000000000e+00
9.089999999999911040e+01,7.488569993716152062e-01,2.258394169130242268e-01,6.766094859879547840e+00,8.034417742214009506e-01,2.027000328918608374e-01,6.774544040473660544e+00,1.646496042533719617e+00,3.000000000000000000e+00
9.599999999999882050e+01,8.699768963706808744e-01,6.559947711364029210e-01,7.164633382763919478e+00,9.139341684610307048e-01,6.364073348926694296e-01,7.158218716834913842e+00,1.789620255670490545e+00,3.000000000000000000e+00
1.010999999999985306e+02,1.078921906755032190e+00,1.003880666889820805e+00,7.626696651652111747e+00,1.120399942267610971e+00,8.943019058689629652e-01,7.621442646492092798e+00,1.572118350641665829e+00,3.000000000000000000e+00
1.061999999999982407e+02,1.027755549342600050e+00,1.135364828688695482e+00,7.944849000183364929e+00,1.075525935442550596e+00,1.103660355851365349e+00,7.950765748049001935e+00,1.018224555991033897e+00,3.000000000000000000e+00
1.112999999999979508e+02,1.084848914177170665e+00,1.145313144815408801e+00,8.330831723705463432e+00,1.110387266775054727e+00,1.131253606683552793e+00,8.324567689831587458e+00,9.868124051132243224e-01,3.000000000000000000e+00
1.163999999999976609e+02,1.013318236663254934e+00,1.027328023844871208e+00,8.737617708026002461e+00,1.058341306066554299e+00,9.265538844847757138e-01,8.735118176082774966e+00,7.560615112464824650e-01,3.000000000000000000e+00
1.214999999999973710e+02,9.206487064508037665e-01,9.525069414314943916e-01,9.095185817940247830e+00,9.576661834751032387e-01,9.412809987975659931e-01,9.105062045003059268e+00,6.474039886442218839e-01,3.000000000000000000e+00
1.265999999999970811e+02,9.550292293976705427e-01,9.362919512264734623e-01,9.501020549506838719e+00,9.629952232923729705e-01,9.253985405125788599e-01,9.524985277591135002e+00,7.518453919765659688e-01,3.000000000000000000e+00
1.316999999999968054e+02,1.090270987347568665e+00,9.747343545831441691e-01,9.691366702324572202e+00,1.089711688141826951e+00,9.774710579800395260e-01,9.698851452019491504e+00,5.631642254459167107e-01,3.000000000000000000e+00
1.367999999999965155e+02,1.374866907288473827e+00,1.256653054226210875e+00,9.314416728816564017e+00,1.413358636045574324e+00,1.220518235337420210e+00,9.321307013966977806e+00,7.766991566815300008e-01,3.000000000000000000e+00
1.418999999999962256e+02,1.579586355983330970e+00,1.428900358765176959e+00,8.956632543298983506e+00,1.623727718466996928e+00,1.412180790919932205e+00,8.946576239068141589e+00,1.287585995318881738e+00,3.000000000000000000e+00
1.469999999999959357e+02,1.766204730496131914e+00,1.744275760612951087e+00,8.542240265627693674e+00,1.764761361897000391e+00,1.730889847547327776e+00,8.558401266412911212e+00,1.586447749798218787e+00,3.000000000000000000e+00
1.520999999999956458e+02,1.990638405466626182e+00,2.475311156702561632e+00,8.221430644247776698e+00,2.003354801712861288e+00,2.449937213146855974e+00,8.226455711835894746e+00,2.353556133834884267e+00,3.000000000000000000e+00
1.571999999999953559e+02,1.888283729640946040e+00,2.980283330820345356e+00,7.794863775853774435e+00,1.911218204011279287e+00,2.970644687196255518e+00,7.782413181982786199e+00,2.711470165437618096e+00,3.000000000000000000e+00
