t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,4.801985860653253946e-01,6.628186000279033818e-01,3.472100120323692862e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,5.575209488129913016e-01,4.691363642051200600e-01,7.674301386387495372e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,5.033804197219039489e-01,2.312451883721679258e-01,1.113221409345355628e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,2.750472729103917713e-01,2.707397676818169008e-01,1.505003787530832193e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,8.013141947563862111e-02,2.062526385324369715e-01,1.864252280980740029e+00,5.501776806893404065e-02,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,5.894673320053429866e-02,4.738935377625273782e-02,2.274354720715378697e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,1.676598273854558174e-01,2.235744783565270510e-01,2.649676094694825679e+00,1.020107082414850735e-01,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,3.920836107828665762e-01,2.005622040715448473e-01,3.004061902845165832e+00,4.701636020426221835e-02,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,2.466728403737814546e-01,4.678884781055552278e-01,3.391521121467683475e+00,3.735834444986828318e-02,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,6.000998737308597952e-02,5.020704233704961217e-01,3.760488536265965465e+00,2.188572909314736442e-02,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,-2.531719647199369150e-01,6.761053666652211414e-01,4.141311904087054074e+00,0.000000000000000000e+00,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,-4.811175205597959526e-01,4.108567814865194956e-01,4.467379474409668205e+00,0.000000000000000000e+00,2.000000000000000000e+00
6.540000000000055991e+01,1.953785666272187527e-01,2.683381173086750726e-01,4.856759813938900550e+00,-3.887106674684157603e-01,2.530562228551909154e-01,4.870853369594217774e+00,0.000000000000000000e+00,2.000000000000000000e+00
7.050000000000027001e+01,2.215798309451796344e-01,1.991926239332147686e-01,5.249170419409317390e+00,-4.271408313891405517e-01,2.821195178803882486e-01,5.242297787250915775e+00,2.073749482144473036e-02,2.000000000000000000e+00
7.559999999999998010e+01,2.685416096699244637e-01,1.421247424058045272e-01,5.683256823302491156e+00,-3.601496814299773863e-01,1.766666047024734731e-01,5.679591127866427058e+00,0.000000000000000000e+00,2.000000000000000000e+00
8.069999999999969020e+01,8.546401477516349932e-01,1.188046443221998788e-01,6.020868544869273364e+00,2.291837972540745061e-01,2.377597439451415717e-01,6.011484693815569713e+00,1.755330413939007461e-01,3.000000000000000000e+00
8.579999999999940030e+01,8.500987316611057221e-01,-2.771912366806510500e-02,6.362040961185237542e+00,2.947975371417763668e-01,6.423551753343230419e-02,6.374330810997792085e+00,3.940819810416833213e-02,3.000000000000000000e+00
9.089999999999911040e+01,7.488569993716152062e-01,2.258394169130242268e-01,6.766094859879547840e+00,1.240962960164368051e-01,3.282547677048127110e-01,6.778944295662212127e+00,0.000000000000000000e+00,3.000000000000000000e+00
9.599999999999882050e+01,8.699768963706808744e-01,6.559947711364029210e-01,7.164633382763919478e+00,2.283589235738192336e-01,6.311154388363390266e-01,7.144107516543105163e+00,1.554085132886092735e-01,3.000000000000000000e+00
1.010999999999985306e+02,1.078921906755032190e+00,1.003880666889820805e+00,7.626696651652111747e+00,4.317827169899413620e-01,8.833143520779275226e-01,7.616651074440474289e+00,0.000000000000000000e+00,3.000000000000000000e+00
