t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,5.795232421673164325e-01,6.350779347626041016e-01,3.349814191871630098e-01,3.659061028795428161e+00,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,6.810789569531700005e-01,6.396081482292125253e-01,7.636178682554073394e-01,3.654529702841638805e+00,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,6.791525687291928293e-01,3.968231216814048778e-01,1.144066501151554505e+00,3.695012567275024029e+00,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,6.327843042029166476e-01,5.369658043825330518e-01,1.479813197492400256e+00,3.663902373301907822e+00,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,8.256157238948934607e-01,2.271116598243845819e-01,1.839436844795870440e+00,3.459026759068751122e+00,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,8.969508875389085034e-01,-3.516754381595454254e-02,2.256652554065940119e+00,3.563714205765442955e+00,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,9.125227902449258854e-01,-3.128788208775548640e-02,2.659345008318528158e+00,3.530358286289867920e+00,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,1.414731448850277573e+00,-2.874276365562721813e-01,3.006269554653683951e+00,3.772294456876161384e+00,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,1.627101074392413693e+00,-1.463912777225545858e-01,3.378693833456460460e+00,3.819579726667278852e+00,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,1.439745355328342358e+00,-1.852275844090464987e-02,3.773558898851139265e+00,3.625572126675271623e+00,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,9.768397215480391083e-01,2.229397875573990995e-01,4.153691159882324513e+00,3.737393293768721758e+00,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,8.606387465220152189e-01,3.319892822650362674e-01,4.485486412890331565e+00,3.872202519892374184e+00,2.000000000000000000e+00
6.540000000000055991e+01,1.953785666272187527e-01,2.683381173086750726e-01,4.856759813938900550e+00,7.537144493423553193e-01,4.071916398367751710e-02,4.859377833754700227e+00,3.407117509837910951e+00,2.000000000000000000e+00
7.050000000000027001e+01,2.215798309451796344e-01,1.991926239332147686e-01,5.249170419409317390e+00,5.681375886304238509e-01,-6.612000966951282754e-02,5.238299328257983944e+00,3.254080245835530683e+00,2.000000000000000000e+00
7.559999999999998010e+01,2.685416096699244637e-01,1.421247424058045272e-01,5.683256823302491156e+00,7.122638598362277529e-01,-2.513137209572753883e-01,5.672068336818972156e+00,3.214179233364542032e+00,2.000000000000000000e+00
8.069999999999969020e+01,8.546401477516349932e-01,1.188046443221998788e-01,6.020868544869273364e+00,1.113364450042452214e+00,-9.482158373843851962e-02,6.000454511528647394e+00,3.675020704072232913e+00,3.000000000000000000e+00
8.579999999999940030e+01,8.500987316611057221e-01,-2.771912366806510500e-02,6.362040961185237542e+00,7.915476103943520636e-01,-3.607205684722940287e-03,6.338893001392135851e+00,3.618706810369858751e+00,3.000000000000000000e+00
9.089999999999911040e+01,7.488569993716152062e-01,2.258394169130242268e-01,6.766094859879547840e+00,5.872430751420313344e-01,2.952371500294330708e-01,6.778631875341243784e+00,3.578247287047105374e+00,3.000000000000000000e+00
9.599999999999882050e+01,8.699768963706808744e-01,6.559947711364029210e-01,7.164633382763919478e+00,7.756424314391936470e-01,6.560016289338735929e-01,7.137668848275077416e+00,4.031946343091873608e+00,3.000000000000000000e+00
1.010999999999985306e+02,1.078921906755032190e+00,1.003880666889820805e+00,7.626696651652111747e+00,1.103256061652773568e+00,8.888253046083969267e-01,7.615961311415913038e+00,4.326611676263655504e+00,3.000000000000000000e+00
1.061999999999982407e+02,1.027755549342600050e+00,1.135364828688695482e+00,7.944849000183364929e+00,9.315340204942341717e-01,1.356230502956327966e+00,7.951479724435198904e+00,4.637343658319338147e+00,3.000000000000000000e+00
1.112999999999979508e+02,1.084848914177170665e+00,1.145313144815408801e+00,8.330831723705463432e+00,8.529697013651614812e-01,1.523319761529182470e+00,8.308442267795703273e+00,4.395672262414816345e+00,3.000000000000000000e+00
1.163999999999976609e+02,1.013318236663254934e+00,1.027328023844871208e+00,8.737617708026002461e+00,7.689638400942800933e-01,1.189285383229071957e+00,8.780643721236836896e+00,4.359026575752462662e+00,3.000000000000000000e+00
1.214999999999973710e+02,9.206487064508037665e-01,9.525069414314943916e-01,9.095185817940247830e+00,3.992964341682771479e-01,9.321255841020692490e-01,9.100418128137635065e+00,4.131923614483359763e+00,3.000000000000000000e+00
1.265999999999970811e+02,9.550292293976705427e-01,9.362919512264734623e-01,9.501020549506838719e+00,1.842270113283707988e-01,6.865032961090880015e-01,9.517366422834557582e+00,4.056561832214149455e+00,3.000000000000000000e+00
1.316999999999968054e+02,1.090270987347568665e+00,9.747343545831441691e-01,9.691366702324572202e+00,3.956062074568920117e-01,6.801329569019956001e-01,9.675072504252133498e+00,4.200655399559135361e+00,3.000000000000000000e+00
1.367999999999965155e+02,1.374866907288473827e+00,1.256653054226210875e+00,9.314416728816564017e+00,7.739125670306751248e-01,8.278511386056834898e-01,9.327742961247604825e+00,4.816600070642588882e+00,3.000000000000000000e+00
