t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,5.144253635369923083e-01,6.502952365541264657e-01,3.719260908138486421e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,6.660008156171741689e-01,5.303930395735506620e-01,7.727488822642729627e-01,1.689488775953555677e-02,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,7.452885969751030792e-01,3.875712270415990757e-01,1.124694779573368830e+00,5.784066753155944762e-02,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,5.707462682211384974e-01,3.686135526774834137e-01,1.513992922220394277e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,4.548423607017919590e-01,2.290211073326878233e-01,1.874159212988875334e+00,2.067603093045243534e-01,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,4.470133536225520121e-01,3.961604803480278658e-02,2.267780584931737398e+00,8.091621844704978417e-02,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,5.675363124628897138e-01,1.333243846661318344e-01,2.646574415554662885e+00,2.377048459275800107e-01,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,8.335214394906691471e-01,1.421830439328473639e-01,2.999534365500379884e+00,9.276015564244670386e-02,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,7.148328139258796066e-01,3.519872318657945587e-01,3.391097531239971374e+00,0.000000000000000000e+00,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,6.481726674408452293e-01,3.337014268002025941e-01,3.766121147347875286e+00,0.000000000000000000e+00,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,3.866834285568343521e-01,5.350510183402841236e-01,4.143067415348097526e+00,0.000000000000000000e+00,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,2.002016034984889226e-01,3.819263747774856443e-01,4.488940523228561297e+00,0.000000000000000000e+00,2.000000000000000000e+00
6.540000000000055991e+01,1.953785666272187527e-01,2.683381173086750726e-01,4.856759813938900550e+00,2.566044332016649276e-01,2.131137845488807470e-01,4.867502647593833665e+00,1.025936786357227043e-01,2.000000000000000000e+00
7.050000000000027001e+01,2.215798309451796344e-01,1.991926239332147686e-01,5.249170419409317390e+00,2.367110515283855354e-01,1.663489161037047248e-01,5.250396213429044501e+00,0.000000000000000000e+00,2.000000000000000000e+00
7.559999999999998010e+01,2.685416096699244637e-01,1.421247424058045272e-01,5.683256823302491156e+00,3.191058002031364471e-01,7.853179435838331113e-02,5.685986308887439833e+00,0.000000000000000000e+00,2.000000000000000000e+00
8.069999999999969020e+01,8.546401477516349932e-01,1.188046443221998788e-01,6.020868544869273364e+00,8.898253293394938757e-01,5.248266217249961119e-02,6.017734380199844857e+00,1.113134385104100066e-01,3.000000000000000000e+00
8.579999999999940030e+01,8.500987316611057221e-01,-2.771912366806510500e-02,6.362040961185237542e+00,8.925887640074565699e-01,-6.076755375258215131e-02,6.372827813498194161e+00,1.023038296120558910e-01,3.000000000000000000e+00
9.089999999999911040e+01,7.488569993716152062e-01,2.258394169130242268e-01,6.766094859879547840e+00,8.060380314233520638e-01,1.883641650611753982e-01,6.778025794498986123e+00,4.164109282928159933e-02,3.000000000000000000e+00
9.599999999999882050e+01,8.699768963706808744e-01,6.559947711364029210e-01,7.164633382763919478e+00,9.165304256629818180e-01,6.220714670619839071e-01,7.144588781581393988e+00,4.001457862684815875e-02,3.000000000000000000e+00
1.010999999999985306e+02,1.078921906755032190e+00,1.003880666889820805e+00,7.626696651652111747e+00,1.122996199469562306e+00,8.799660380382774427e-01,7.627815174454115166e+00,0.000000000000000000e+00,3.000000000000000000e+00
1.061999999999982407e+02,1.027755549342600050e+00,1.135364828688695482e+00,7.944849000183364929e+00,1.078122192644501931e+00,1.089324488020679826e+00,7.935102019580071442e+00,1.487358391936944302e-01,3.000000000000000000e+00
1.112999999999979508e+02,1.084848914177170665e+00,1.145313144815408801e+00,8.330831723705463432e+00,1.112983523977006062e+00,1.116917738852867270e+00,8.323488364340558832e+00,1.515443193388190668e-01,3.000000000000000000e+00
1.163999999999976609e+02,1.013318236663254934e+00,1.027328023844871208e+00,8.737617708026002461e+00,1.060937563268505635e+00,9.122180166540904134e-01,8.746569190882119926e+00,2.839700039293776568e-01,3.000000000000000000e+00
1.214999999999973710e+02,9.206487064508037665e-01,9.525069414314943916e-01,9.095185817940247830e+00,9.602624406770547960e-01,9.269451309668804706e-01,9.101153059821095681e+00,3.591924750067663208e-01,3.000000000000000000e+00
1.265999999999970811e+02,9.550292293976705427e-01,9.362919512264734623e-01,9.501020549506838719e+00,9.655914804943245278e-01,9.110626726818935595e-01,9.500883311681516119e+00,3.293464469888351398e-01,3.000000000000000000e+00
1.316999999999968054e+02,1.090270987347568665e+00,9.747343545831441691e-01,9.691366702324572202e+00,1.092307945343778508e+00,9.631351901493537815e-01,9.690174902849415517e+00,3.345397326084151857e-01,3.000000000000000000e+00
1.367999999999965155e+02,1.374866907288473827e+00,1.256653054226210875e+00,9.314416728816564017e+00,1.415954893247525659e+00,1.206182367506734687e+00,9.316038570483490489e+00,1.710407510365958283e-01,3.000000000000000000e+00
1.418999999999962256e+02,1.579586355983330970e+00,1.428900358765176959e+00,8.956632543298983506e+00,1.626323975668948263e+00,1.397844923089246683e+00,8.954571336106685209e+00,2.734497495333227390e-01,3.000000000000000000e+00
1.469999999999959357e+02,1.766204730496131914e+00,1.744275760612951087e+00,8.542240265627693674e+00,1.767357619098951726e+00,1.716553979716642253e+00,8.551676877624739603e+00,4.850612666505310644e-01,3.000000000000000000e+00
1.520999999999956458e+02,1.990638405466626182e+00,2.475311156702561632e+00,8.221430644247776698e+00,2.005951058914812180e+00,2.435601345316170452e+00,8.221461296631085602e+00,7.297005975571237979e-01,3.000000000000000000e+00
1.571999999999953559e+02,1.888283729640946040e+00,2.980283330820345356e+00,7.794863775853774435e+00,1.913814461213230622e+00,2.956308819365569995e+00,7.794926666662484571e+00,5.983822241487312121e-01,3.000000000000000000e+00
1.622999999999950660e+02,2.066957319518821112e+00,3.052449639880431942e+00,7.427679195323117156e+00,2.107591927909435281e+00,3.014359823799904081e+00,7.412439622324090038e+00,3.964612799276046595e-01,3.000000000000000000e+00
1.673999999999947761e+02,2.240815926551118498e+00,3.314121022098171832e+00,6.991083234346472608e+00,2.289469114455912724e+00,3.273565085965528532e+00,7.039597949486447348e+00,2.923180087312228781e-01,3.000000000000000000e+00
1.724999999999944862e+02,2.155274542015721551e+00,3.726788274398396883e+00,6.627727825276065410e+00,2.211217865722151288e+00,3.638862873271093701e+00,6.624091355750179488e+00,6.493137645917970158e-01,3.000000000000000000e+00
1.775999999999941963e+02,2.623171234825977027e+00,3.971517720296005027e+00,6.259448909136829720e+00,2.654454031836803285e+00,3.937256224620078626e+00,6.263157916557485549e+00,7.717675239688545075e-01,3.000000000000000000e+00
1.826999999999939064e+02,2.916013627075914716e+00,4.090097705958601004e+00,5.833807512500912118e+00,2.965047862087854202e+00,4.054379305632040520e+00,5.843442306594301527e+00,6.463392457713459383e-01,3.000000000000000000e+00
1.877999999999936165e+02,3.257222219221880710e+00,4.422818954250089973e+00,5.460892988537858983e+00,3.289574972871680991e+00,4.360412068663252150e+00,5.460153381177484277e+00,1.057483644395724953e+00,3.000000000000000000e+00
1.928999999999933266e+02,3.245305557112859507e+00,4.796749080316746294e+00,5.102573146100886525e+00,3.293122609992565231e+00,4.749077065303499268e+00,5.116101919060526804e+00,9.653829600035448433e-01,3.000000000000000000e+00
1.979999999999930367e+02,3.526397968842919894e+00,5.113936733968882820e+00,4.721303017644483901e+00,3.483926947007621067e+00,5.076655952105959102e+00,4.721818670475796509e+00,1.408860741023198582e+00,3.000000000000000000e+00
2.030999999999927468e+02,3.703207356338090950e+00,5.217441327988121991e+00,4.307990760660522334e+00,3.734881357126670132e+00,5.192308205229181794e+00,4.296228674602659225e+00,1.761731119776305476e+00,3.000000000000000000e+00
2.081999999999924569e+02,3.989928663817282395e+00,5.435559790519985057e+00,3.942885475033354847e+00,4.024170678847108107e+00,5.411333676567578799e+00,3.927413023131643310e+00,2.121115384116705194e+00,3.000000000000000000e+00
2.132999999999921670e+02,4.179502975527515929e+00,6.046415892229051181e+00,3.538850580864252748e+00,4.183481569325690153e+00,6.011391317495268005e+00,3.561111637126385343e+00,2.597398364582061969e+00,3.000000000000000000e+00
2.183999999999918771e+02,4.084058943308717993e+00,6.012379268694711065e+00,3.201070328448094582e+00,4.145842121547446801e+00,5.984600433190098379e+00,3.209258606490866583e+00,2.541320544595963238e+00,3.000000000000000000e+00
2.234999999999915872e+02,3.942395979168194842e+00,6.032071995139973275e+00,2.818258041011231008e+00,3.993911484334963902e+00,5.990634300581808347e+00,2.803253454567247172e+00,2.427303874040775966e+00,3.000000000000000000e+00
