t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,5.425404164221522274e-01,6.355780003905259212e-01,3.582055873909205657e-01,4.460425472144620429e-02,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,7.203612685618435707e-01,4.463859255438205054e-01,7.709831550999569627e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,9.420339997964612966e-01,3.776046460446804698e-01,1.106493385639490956e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,7.232222527091700659e-01,5.414707663275959426e-01,1.519521125034021924e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,6.208163456131203795e-01,3.821241180805574622e-01,1.856968869355339447e+00,8.899472493998795974e-02,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,5.950412138648490945e-01,-2.663462368851428341e-02,2.282437332279863007e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,7.310571838172880144e-01,6.641983776726984035e-02,2.641522276408008629e+00,1.007374832179951107e-01,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,9.513120065788377433e-01,2.629301595468340469e-02,2.997420706437935678e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,8.240288193715421539e-01,3.682956200798521706e-01,3.351878748669774311e+00,7.079940008142354690e-02,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,8.136932470991919963e-01,3.277927049832272677e-01,3.758340146582798358e+00,1.995583749904767529e-02,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,6.239911898043132288e-01,5.136489365011194241e-01,4.137551688506889924e+00,1.467044093784657111e-01,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,4.924810717192941723e-01,4.570430291411433643e-01,4.489375581256020098e+00,7.282326824201597326e-02,2.000000000000000000e+00
6.540000000000055991e+01,1.953785666272187527e-01,2.683381173086750726e-01,4.856759813938900550e+00,6.521588186211788596e-01,3.808795284895509781e-01,4.864826854138209811e+00,0.000000000000000000e+00,2.000000000000000000e+00
7.050000000000027001e+01,2.215798309451796344e-01,1.991926239332147686e-01,5.249170419409317390e+00,5.819837532640582678e-01,2.380665840215341611e-01,5.253166643754716425e+00,0.000000000000000000e+00,2.000000000000000000e+00
7.559999999999998010e+01,2.685416096699244637e-01,1.421247424058045272e-01,5.683256823302491156e+00,6.575141547909074680e-01,9.435700359265385140e-02,5.664833008884093246e+00,9.748455522852250699e-02,2.000000000000000000e+00
8.069999999999969020e+01,8.546401477516349932e-01,1.188046443221998788e-01,6.020868544869273364e+00,1.208673296428505850e+00,-3.767525031033670813e-02,6.014223437335017408e+00,4.344037044591183422e-03,3.000000000000000000e+00
