t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,6.269383396311222212e-01,6.418461437308574657e-01,3.617550875596506899e-01,5.204775070017025662e+00,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,7.437277551576557677e-01,6.660473543973458588e-01,7.686682301712728371e-01,6.921947102043984223e+00,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,1.108289031005393444e+00,3.232309617928072476e-01,1.148533303151282992e+00,8.553224117839210550e+00,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,9.167466728254027863e-01,1.369852816628990000e-01,1.498318091411846797e+00,9.684599691760302775e+00,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,6.406602953458037097e-01,3.923203415660436733e-02,1.890450785191351457e+00,1.113007668151051455e+01,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,3.308276173018255273e-01,-2.750602592551955050e-01,2.254976713222226703e+00,1.205783431415578022e+01,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,5.237068326030057674e-01,-4.944875385891882996e-02,2.619341618883423983e+00,1.370319204302610316e+01,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,8.813765691566941562e-01,-7.637649021622133771e-02,3.004982929930639646e+00,1.433448573429327233e+01,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,6.796254261706852207e-01,-8.474979691757421330e-02,3.358122979862522506e+00,1.429054634524229961e+01,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,6.658492985760248173e-01,-2.238255887161663127e-01,3.748419841779755846e+00,1.397245834332514214e+01,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,2.853225420963883541e-01,2.329827425434548294e-01,4.149585934935480225e+00,1.263089499721136200e+01,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,6.857417858199130190e-02,-1.782048639962294234e-02,4.495776376348185721e+00,1.123457128096067592e+01,2.000000000000000000e+00
6.540000000000055991e+01,1.953785666272187527e-01,2.683381173086750726e-01,4.856759813938900550e+00,-6.278629900234820871e-02,-7.013737192354618788e-02,4.886952220264379143e+00,9.785140224544203846e+00,2.000000000000000000e+00
7.050000000000027001e+01,2.215798309451796344e-01,1.991926239332147686e-01,5.249170419409317390e+00,-1.211391379010471059e-01,-2.380147402326841799e-01,5.253564357046762723e+00,8.312958193008862295e+00,2.000000000000000000e+00
7.559999999999998010e+01,2.685416096699244637e-01,1.421247424058045272e-01,5.683256823302491156e+00,-2.748781940780666844e-01,-2.621283754736006277e-01,5.652577674103124394e+00,7.111356462256310351e+00,2.000000000000000000e+00
8.069999999999969020e+01,8.546401477516349932e-01,1.188046443221998788e-01,6.020868544869273364e+00,1.451780576626298010e-02,-3.563681193253899759e-01,5.997314307452226601e+00,6.105313288754866896e+00,3.000000000000000000e+00
8.579999999999940030e+01,8.500987316611057221e-01,-2.771912366806510500e-02,6.362040961185237542e+00,9.618420104730907028e-02,-3.548949768737665877e-01,6.371714453032505610e+00,4.984259427820500576e+00,3.000000000000000000e+00
9.089999999999911040e+01,7.488569993716152062e-01,2.258394169130242268e-01,6.766094859879547840e+00,-3.784355635794048878e-01,-4.200166523128718438e-02,6.780615438244646853e+00,3.779910831174757124e+00,3.000000000000000000e+00
9.599999999999882050e+01,8.699768963706808744e-01,6.559947711364029210e-01,7.164633382763919478e+00,-1.939814821121434857e-02,1.495145568835212213e-01,7.167909027528017063e+00,2.703211333287673046e+00,3.000000000000000000e+00
1.010999999999985306e+02,1.078921906755032190e+00,1.003880666889820805e+00,7.626696651652111747e+00,2.155286106569541116e-01,4.950425032206444143e-01,7.644194556799088325e+00,1.810226235455214994e+00,3.000000000000000000e+00
1.061999999999982407e+02,1.027755549342600050e+00,1.135364828688695482e+00,7.944849000183364929e+00,3.070728204215507628e-01,6.675196405198671190e-01,7.956806301911150570e+00,1.326388907222253000e+00,3.000000000000000000e+00
