t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,6.414889405396697608e-01,8.726972126858646428e-01,3.871982518371989146e-01,5.245678160849765348e+00,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,9.977909717796564770e-01,8.729485553640206064e-01,7.673067860371024507e-01,5.179142517637845167e+00,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,1.082652795088372644e+00,8.534627571707832372e-01,1.117522886760833112e+00,5.060102533763171095e+00,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,5.277798826306306923e-01,7.324513494654248946e-01,1.523006017619041641e+00,5.182096549225114757e+00,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,4.517636921465048028e-01,6.018487497638671524e-01,1.870696025445822697e+00,5.072547620344531438e+00,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,5.322709904113420709e-01,3.476036209077998929e-01,2.262593009493913510e+00,4.775735589680379256e+00,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,5.207440869138854067e-01,4.379320963744886552e-01,2.644390569164639881e+00,4.859290287857894519e+00,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,9.074567607155765714e-01,2.734086180192039084e-01,3.018751376293601574e+00,5.106527553991301538e+00,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,6.351148247054051454e-01,5.363539026246950669e-01,3.384513151594445546e+00,5.102756264117759955e+00,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,6.316110262217610183e-01,6.063181248913827037e-01,3.714953829805867969e+00,5.160772641757152002e+00,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,3.842266865970922485e-01,1.042330522130544557e+00,4.163396558676072168e+00,5.332724627517412053e+00,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,2.606386600149387597e-02,6.909378716547379673e-01,4.495013734839092834e+00,5.226840022747613723e+00,2.000000000000000000e+00
6.540000000000055991e+01,1.953785666272187527e-01,2.683381173086750726e-01,4.856759813938900550e+00,2.962034924563342053e-01,5.166389885618424271e-01,4.862816970228924340e+00,5.072873558126353544e+00,2.000000000000000000e+00
7.050000000000027001e+01,2.215798309451796344e-01,1.991926239332147686e-01,5.249170419409317390e+00,3.297036200961059871e-01,6.019843746526690742e-01,5.242635172683699274e+00,5.116933793933534425e+00,2.000000000000000000e+00
