t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,5.208444689010945927e-01,6.543979563984175796e-01,3.665973549076588789e-01,1.048722158773024216e+00,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,6.723657017152719906e-01,5.345285297734471142e-01,7.809947999624657911e-01,9.801155979683833230e-01,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,7.516534475400916682e-01,3.917067387178585491e-01,1.108989858096581127e+00,9.844818135989744645e-01,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,5.771111187597756098e-01,3.727490643696697026e-01,1.500288075028857637e+00,9.888864194245752248e-01,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,4.612072112404064228e-01,2.331566190248878789e-01,1.873286301996147429e+00,1.091612235247115148e+00,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,4.533782041611661429e-01,4.375155972700278673e-02,2.273227159663299357e+00,8.268038078049346762e-01,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,5.739011630015037335e-01,1.374598963583318068e-01,2.654495738835068508e+00,1.116481627104041419e+00,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,8.398862900292831668e-01,1.463185556250473085e-01,3.002519367503603043e+00,1.258238727660982770e+00,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,7.211976644644936263e-01,3.561227435579945033e-01,3.390847814587644837e+00,1.359943385509115865e+00,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,6.545375179794592491e-01,3.378369384924025387e-01,3.763055909312190916e+00,1.336496191015899226e+00,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,3.930482790954483718e-01,5.391865300324840682e-01,4.139801191261378577e+00,1.326900779791523322e+00,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,2.065664540371029423e-01,3.860618864696855890e-01,4.479620741683577378e+00,1.202081291022245813e+00,2.000000000000000000e+00
6.540000000000055991e+01,1.953785666272187527e-01,2.683381173086750726e-01,4.856759813938900550e+00,2.629692837402789474e-01,2.172492962410806916e-01,4.873123380988077180e+00,9.449979716764537185e-01,2.000000000000000000e+00
7.050000000000027001e+01,2.215798309451796344e-01,1.991926239332147686e-01,5.249170419409317390e+00,2.430759020669997217e-01,1.704844277959046694e-01,5.258924843925140813e+00,1.341831770104456645e+00,2.000000000000000000e+00
7.559999999999998010e+01,2.685416096699244637e-01,1.421247424058045272e-01,5.683256823302491156e+00,3.254706507417505779e-01,8.266730605058324188e-02,5.683090482057793658e+00,9.930158992107077642e-01,2.000000000000000000e+00
8.069999999999969020e+01,8.546401477516349932e-01,1.188046443221998788e-01,6.020868544869273364e+00,8.961901798781080064e-01,5.661817386469955582e-02,6.023005938334246245e+00,1.507785034634421262e+00,3.000000000000000000e+00
8.579999999999940030e+01,8.500987316611057221e-01,-2.771912366806510500e-02,6.362040961185237542e+00,8.989536145460708116e-01,-5.663204206038220667e-02,6.372523359353289507e+00,1.396185518585975949e+00,3.000000000000000000e+00
9.089999999999911040e+01,7.488569993716152062e-01,2.258394169130242268e-01,6.766094859879547840e+00,8.124028819619663055e-01,1.924996767533753428e-01,6.780843938682190597e+00,1.921939976069850120e+00,3.000000000000000000e+00
