t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,5.416504302690816619e-01,6.149796914995731001e-01,3.780110745437137987e-01,4.455497663296888872e-02,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,6.434504626952705086e-01,5.226723682143534777e-01,7.798351069407361003e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,7.651525116616416655e-01,3.335127095301960720e-01,1.124192895571981765e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,5.406412429347658977e-01,3.646192030630533432e-01,1.505510017995388417e+00,9.884260790794445473e-02,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,4.667294007058033212e-01,3.614059501718953626e-01,1.875068410210389835e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,4.550943461991294181e-01,1.861448408814135869e-01,2.278889941336632141e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,6.657200797430069539e-01,2.886784616772988254e-01,2.654507577989750899e+00,6.829412253013107670e-02,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,1.040798225150994183e+00,3.147314617556350447e-01,2.995704975236753054e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,9.659139345481982941e-01,5.123988900351871267e-01,3.406707666993179284e+00,0.000000000000000000e+00,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,9.381158008893711875e-01,5.835900951355539323e-01,3.736114460067246679e+00,0.000000000000000000e+00,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,7.128799597050706760e-01,7.670144574202139021e-01,4.139910122328766207e+00,0.000000000000000000e+00,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,5.362599494712982917e-01,5.613102722343820128e-01,4.502143145975531446e+00,0.000000000000000000e+00,2.000000000000000000e+00
6.540000000000055991e+01,1.953785666272187527e-01,2.683381173086750726e-01,4.856759813938900550e+00,6.433322824978051635e-01,5.059479271635575204e-01,4.889272943510084346e+00,0.000000000000000000e+00,2.000000000000000000e+00
7.050000000000027001e+01,2.215798309451796344e-01,1.991926239332147686e-01,5.249170419409317390e+00,5.287630015917664794e-01,5.198136305393986634e-01,5.250120403045786865e+00,0.000000000000000000e+00,2.000000000000000000e+00
7.559999999999998010e+01,2.685416096699244637e-01,1.421247424058045272e-01,5.683256823302491156e+00,7.005412414828535717e-01,3.960700562336090802e-01,5.667198696322212292e+00,0.000000000000000000e+00,2.000000000000000000e+00
8.069999999999969020e+01,8.546401477516349932e-01,1.188046443221998788e-01,6.020868544869273364e+00,1.345200270217208782e+00,4.109266472954717364e-01,6.015733318708027966e+00,5.585124153790736040e-02,3.000000000000000000e+00
8.579999999999940030e+01,8.500987316611057221e-01,-2.771912366806510500e-02,6.362040961185237542e+00,1.379931323644316921e+00,3.698843061870653592e-01,6.355849477547492299e+00,0.000000000000000000e+00,3.000000000000000000e+00
9.089999999999911040e+01,7.488569993716152062e-01,2.258394169130242268e-01,6.766094859879547840e+00,1.321469932408692705e+00,6.564143389319692101e-01,6.766694376384100984e+00,0.000000000000000000e+00,3.000000000000000000e+00
9.599999999999882050e+01,8.699768963706808744e-01,6.559947711364029210e-01,7.164633382763919478e+00,1.384261966661791243e+00,1.269911868983816250e+00,7.157133133599058894e+00,1.073668199355580222e-01,3.000000000000000000e+00
1.010999999999985306e+02,1.078921906755032190e+00,1.003880666889820805e+00,7.626696651652111747e+00,1.431164308743811064e+00,1.559768396430543769e+00,7.614441100650258143e+00,1.038177570844249775e-01,3.000000000000000000e+00
1.061999999999982407e+02,1.027755549342600050e+00,1.135364828688695482e+00,7.944849000183364929e+00,1.362074092605593867e+00,1.764970907841605818e+00,7.964316840400628372e+00,0.000000000000000000e+00,3.000000000000000000e+00
