t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,5.301554117352585971e-01,6.600531400660827330e-01,3.661507550213318196e-01,2.821991263580338583e+00,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,6.817792534021610562e-01,5.401872422585016764e-01,7.788929561016674219e-01,3.195922849664249110e+00,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,7.610670664726643109e-01,3.973654535155572431e-01,1.106030232934072766e+00,3.098658730832695607e+00,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,5.865247377422169173e-01,3.784077791690835801e-01,1.512497610521408298e+00,3.169575532424107500e+00,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,4.706208302228898077e-01,2.388153338243032553e-01,1.867426850762740953e+00,2.901816944441413249e+00,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,4.627918231436497498e-01,4.941027452641817003e-02,2.283892345606314933e+00,3.149603867896234810e+00,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,5.833147819839873405e-01,1.431186111577471554e-01,2.648012040826186464e+00,3.036261839761128289e+00,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,8.492999090117667738e-01,1.519772704244626849e-01,2.990821565915345204e+00,2.911828757990012839e+00,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,7.306112834469772332e-01,3.617814583574098797e-01,3.366660526846757318e+00,3.367419863139669012e+00,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,6.639511369619428560e-01,3.434956532918179151e-01,3.765514771215990208e+00,3.072959464685919961e+00,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,4.024618980779319788e-01,5.448452448318994445e-01,4.133348167033446430e+00,3.168573952315668851e+00,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,2.159800730195865492e-01,3.917206012691009653e-01,4.489051873761035871e+00,3.300770809455262800e+00,2.000000000000000000e+00
6.540000000000055991e+01,1.953785666272187527e-01,2.683381173086750726e-01,4.856759813938900550e+00,2.723829027227625543e-01,2.229080110404961235e-01,4.863493187137267526e+00,3.100169476669900614e+00,2.000000000000000000e+00
7.050000000000027001e+01,2.215798309451796344e-01,1.991926239332147686e-01,5.249170419409317390e+00,2.524895210494833009e-01,1.761431425953201013e-01,5.267604824810337760e+00,3.255693831722132003e+00,2.000000000000000000e+00
7.559999999999998010e+01,2.685416096699244637e-01,1.421247424058045272e-01,5.683256823302491156e+00,3.348842697242341848e-01,8.832602084999868763e-02,5.674494690671486374e+00,3.073518079241292167e+00,2.000000000000000000e+00
