t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,5.714918437160085851e-01,5.654032366713523938e-01,3.793981682851692017e-01,9.486468565132794017e-02,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,6.234963801423081264e-01,5.006158781531835356e-01,7.814282963636725032e-01,1.547890352907510536e-01,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,7.876126835598991072e-01,2.651183242245466198e-01,1.126624792410374720e+00,1.610406983232279265e-01,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,5.131324748503546251e-01,3.462889856179692805e-01,1.490783720222403241e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,4.812126979117673509e-01,4.794549251804178791e-01,1.875812658083822804e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,4.657715959776602688e-01,3.183377658973398083e-01,2.283366183837714392e+00,6.129644531827529996e-03,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,7.665001042250788599e-01,4.296966708577806271e-01,2.655161494870709848e+00,5.421781074792463712e-02,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,1.250671268013273885e+00,4.729440117477371475e-01,2.995964115457829813e+00,5.976546976533236855e-02,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,1.219591312372470648e+00,6.584746803738940057e-01,3.409372575853181431e+00,3.307234406943830585e-02,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,1.230655191539850479e+00,8.191428956402189154e-01,3.713228718808589512e+00,6.130602321024673784e-02,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,1.041672748055257669e+00,9.846420286694570478e-01,4.133693039366320043e+00,1.093411907814977324e-01,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,8.749145526460574418e-01,7.263583018605920261e-01,4.509440655297750844e+00,2.672843073239269257e-02,2.000000000000000000e+00
6.540000000000055991e+01,1.953785666272187527e-01,2.683381173086750726e-01,4.856759813938900550e+00,1.032656388995895957e+00,7.844462019475481052e-01,4.902752004270396924e+00,1.202545819673202232e-01,2.000000000000000000e+00
7.050000000000027001e+01,2.215798309451796344e-01,1.991926239332147686e-01,5.249170419409317390e+00,8.234112088570983978e-01,8.589424771444065243e-01,5.254472104864102100e+00,2.652119290889997094e-01,2.000000000000000000e+00
7.559999999999998010e+01,2.685416096699244637e-01,1.421247424058045272e-01,5.683256823302491156e+00,1.084572939964521643e+00,6.992724502781491047e-01,5.669351130744497702e+00,1.441874436010390226e-01,2.000000000000000000e+00
8.069999999999969020e+01,8.546401477516349932e-01,1.188046443221998788e-01,6.020868544869273364e+00,1.803171468296874247e+00,7.550347645877579783e-01,6.007583868887719447e+00,3.240820607139470733e-01,3.000000000000000000e+00
8.579999999999940030e+01,8.500987316611057221e-01,-2.771912366806510500e-02,6.362040961185237542e+00,1.869870140483128163e+00,7.862002982960261122e-01,6.343013025449515396e+00,0.000000000000000000e+00,3.000000000000000000e+00
9.089999999999911040e+01,7.488569993716152062e-01,2.258394169130242268e-01,6.766094859879547840e+00,1.839498090595985014e+00,1.110128644972076639e+00,6.758844712294540535e+00,0.000000000000000000e+00,3.000000000000000000e+00
9.599999999999882050e+01,8.699768963706808744e-01,6.559947711364029210e-01,7.164633382763919478e+00,1.854589764862552448e+00,1.903416403074960961e+00,7.156047550363205723e+00,1.685615834622955500e-03,3.000000000000000000e+00
1.010999999999985306e+02,1.078921906755032190e+00,1.003880666889820805e+00,7.626696651652111747e+00,1.741928675220011158e+00,2.225234886992124128e+00,7.607439554808422599e+00,1.114008235677187708e-01,3.000000000000000000e+00
1.061999999999982407e+02,1.027755549342600050e+00,1.135364828688695482e+00,7.944849000183364929e+00,1.648622249768637582e+00,2.426281459831847176e+00,7.977867932752256586e+00,0.000000000000000000e+00,3.000000000000000000e+00
1.112999999999979508e+02,1.084848914177170665e+00,1.145313144815408801e+00,8.330831723705463432e+00,1.354604175516280762e+00,2.285712856180635466e+00,8.353195742696311044e+00,2.589585501291326031e-01,3.000000000000000000e+00
1.163999999999976609e+02,1.013318236663254934e+00,1.027328023844871208e+00,8.737617708026002461e+00,1.478566895748168797e+00,2.186506434749269090e+00,8.751709722514501522e+00,6.583588630615611059e-02,3.000000000000000000e+00
1.214999999999973710e+02,9.206487064508037665e-01,9.525069414314943916e-01,9.095185817940247830e+00,1.347247355528155444e+00,2.031131828778836024e+00,9.122761437588268407e+00,6.476908902006306423e-03,3.000000000000000000e+00
1.265999999999970811e+02,9.550292293976705427e-01,9.362919512264734623e-01,9.501020549506838719e+00,1.180777648407823399e+00,2.145127293052037309e+00,9.515650893099421026e+00,2.841142830173603029e-01,3.000000000000000000e+00
1.316999999999968054e+02,1.090270987347568665e+00,9.747343545831441691e-01,9.691366702324572202e+00,9.887697129018607756e-01,2.264532804333790228e+00,9.710603817159134010e+00,1.100717613473597839e-01,3.000000000000000000e+00
1.367999999999965155e+02,1.374866907288473827e+00,1.256653054226210875e+00,9.314416728816564017e+00,1.099989497421795637e+00,2.425592378451278286e+00,9.332914226622188281e+00,0.000000000000000000e+00,3.000000000000000000e+00
1.418999999999962256e+02,1.579586355983330970e+00,1.428900358765176959e+00,8.956632543298983506e+00,1.062558689840137793e+00,2.840095786809254452e+00,8.950797660749380213e+00,4.992850098487945365e-01,3.000000000000000000e+00
1.469999999999959357e+02,1.766204730496131914e+00,1.744275760612951087e+00,8.542240265627693674e+00,1.185291266962094081e+00,2.949909573539642338e+00,8.568767722065597781e+00,3.577455189732979823e-01,3.000000000000000000e+00
1.520999999999956458e+02,1.990638405466626182e+00,2.475311156702561632e+00,8.221430644247776698e+00,1.392897791830032039e+00,3.735178404551760867e+00,8.213074856137845714e+00,3.499887080585830645e-01,3.000000000000000000e+00
1.571999999999953559e+02,1.888283729640946040e+00,2.980283330820345356e+00,7.794863775853774435e+00,1.040927953771380476e+00,4.163932670529387536e+00,7.770146518637602640e+00,1.024993796759622766e+00,3.000000000000000000e+00
1.622999999999950660e+02,2.066957319518821112e+00,3.052449639880431942e+00,7.427679195323117156e+00,1.295313777221495766e+00,4.174189388267413925e+00,7.444634894862147689e+00,8.904865669721209187e-01,3.000000000000000000e+00
1.673999999999947761e+02,2.240815926551118498e+00,3.314121022098171832e+00,6.991083234346472608e+00,1.343836977230274510e+00,4.320355197997135299e+00,7.019925244813321363e+00,1.072001819988707805e+00,3.000000000000000000e+00
1.724999999999944862e+02,2.155274542015721551e+00,3.726788274398396883e+00,6.627727825276065410e+00,1.264057485003848180e+00,4.605439663350024304e+00,6.631702670382297882e+00,1.735950920903310379e+00,3.000000000000000000e+00
1.775999999999941963e+02,2.623171234825977027e+00,3.971517720296005027e+00,6.259448909136829720e+00,1.578660770705217153e+00,5.007146634719213729e+00,6.215848487773516062e+00,2.116746822774607129e+00,3.000000000000000000e+00
1.826999999999939064e+02,2.916013627075914716e+00,4.090097705958601004e+00,5.833807512500912118e+00,1.794265231534671878e+00,5.283614862001006607e+00,5.879759999546791960e+00,2.353065189649905520e+00,3.000000000000000000e+00
1.877999999999936165e+02,3.257222219221880710e+00,4.422818954250089973e+00,5.460892988537858983e+00,2.048341066299711244e+00,5.542400380878283350e+00,5.456739216949038962e+00,2.632419604476831765e+00,3.000000000000000000e+00
1.928999999999933266e+02,3.245305557112859507e+00,4.796749080316746294e+00,5.102573146100886525e+00,2.031683088307771001e+00,5.954289382325197444e+00,5.117629837825976580e+00,3.245590392133142821e+00,3.000000000000000000e+00
1.979999999999930367e+02,3.526397968842919894e+00,5.113936733968882820e+00,4.721303017644483901e+00,2.292871813396684555e+00,6.339697402215658251e+00,4.716614475854968624e+00,3.862424567054777214e+00,3.000000000000000000e+00
2.030999999999927468e+02,3.703207356338090950e+00,5.217441327988121991e+00,4.307990760660522334e+00,2.345273563868878863e+00,6.334259804790631776e+00,4.295914606984978512e+00,3.743372847806845538e+00,3.000000000000000000e+00
2.081999999999924569e+02,3.989928663817282395e+00,5.435559790519985057e+00,3.942885475033354847e+00,2.690793833116462253e+00,6.501879302245723302e+00,3.935869857542201977e+00,3.986811276153747752e+00,3.000000000000000000e+00
2.132999999999921670e+02,4.179502975527515929e+00,6.046415892229051181e+00,3.538850580864252748e+00,2.671911510414750612e+00,7.248046746326436640e+00,3.582182452965598785e+00,4.700922868374148855e+00,3.000000000000000000e+00
2.183999999999918771e+02,4.084058943308717993e+00,6.012379268694711065e+00,3.201070328448094582e+00,2.682602402605380298e+00,7.078879519302049950e+00,3.253387429724567514e+00,4.577041148533004034e+00,3.000000000000000000e+00
2.234999999999915872e+02,3.942395979168194842e+00,6.032071995139973275e+00,2.818258041011231008e+00,2.549413862346630033e+00,6.891501221864470672e+00,2.771802462394789668e+00,4.216325748742343116e+00,3.000000000000000000e+00
2.285999999999912973e+02,4.192578939357450629e+00,5.939880318807277959e+00,2.394232084626375379e+00,2.559776564677894051e+00,6.760798987117356162e+00,2.364077521764456957e+00,3.725741312620922230e+00,3.000000000000000000e+00
2.336999999999910074e+02,4.466702158130037681e+00,6.378144223926952350e+00,2.027778996533852407e+00,2.925650317664631572e+00,6.953592561836786423e+00,2.063543009603239664e+00,3.915506191508335121e+00,3.000000000000000000e+00
2.387999999999907175e+02,4.939622358531027047e+00,6.574879909187727911e+00,1.666002869262865227e+00,3.485611857513877698e+00,7.021583697561391446e+00,1.652771195639037405e+00,3.906191066054153005e+00,3.000000000000000000e+00
2.438999999999904276e+02,4.912272754115714513e+00,7.244642679122975437e+00,1.249080868723436932e+00,3.529592680302005014e+00,7.597412254466402892e+00,1.273491578641852362e+00,4.157335141187552985e+00,3.000000000000000000e+00
2.489999999999901377e+02,4.986440094083806507e+00,7.376030189100302614e+00,9.052782427703908175e-01,3.857582815885355565e+00,7.805816656773456153e+00,9.321433601698387861e-01,3.849378334479255592e+00,3.000000000000000000e+00
2.540999999999898478e+02,5.426590776989804965e+00,8.008215125598040274e+00,5.333343561830532487e-01,4.416519305840029830e+00,8.679573459965190807e+00,5.027108059102892712e-01,3.872496500059679825e+00,3.000000000000000000e+00
2.590999999999904162e+02,4.811456587532274121e+00,8.302715076134136396e+00,1.843892929105771794e-01,4.899256409980037752e+00,8.273542943629918156e+00,1.770653007878493224e-01,3.646363440230988129e+00,1.000000000000000000e+00
